key,count,pct,min,max,mean
AutoGrayscaleMix,25000,100.0,,,
Brightness,25000,100.0,-150.0,150.0,18.8992
CameraProfile,25000,100.0,,,
Contrast,25000,100.0,-50.0,100.0,16.0137
ConvertToGrayscale,25000,100.0,,,
Exposure,25000,100.0,-4.0,4.0,0.8124
Shadows,25000,100.0,0.0,100.0,13.0347
SharpenDetail,25000,100.0,25.0,50.0,29.0
SharpenEdgeMasking,25000,100.0,0.0,0.0,0.0
SharpenRadius,25000,100.0,1.0,1.0,1.0
ToneCurveName,25000,100.0,,,
Version,25000,100.0,,,
WhiteBalance,25000,100.0,,,
Temperature,24985,99.94,2000.0,50000.0,5028.0981
Tint,24985,99.94,-150.0,150.0,4.7302
CameraProfileDigest,20707,82.83,,,
CustomTemperature,16736,66.94,2000.0,50000.0,5021.2238
CustomTint,16736,66.94,-150.0,150.0,4.9349
HighlightRecovery,16403,65.61,1.0,100.0,34.9023
Vibrance,12247,48.99,-65.0,100.0,26.4116
FillLight,9025,36.1,1.0,100.0,21.0493
Saturation,7610,30.44,-63.0,100.0,10.0629
ParametricLights,6549,26.2,-100.0,100.0,3.7477
ParametricDarks,6547,26.19,-100.0,100.0,-7.0305
ParametricHighlights,3052,12.21,-100.0,100.0,24.9489
ColorNoiseReduction,2400,9.6,25.0,25.0,25.0
Sharpness,2400,9.6,25.0,25.0,25.0
ParametricShadows,2229,8.92,-100.0,100.0,-15.1624
LensManualDistortionAmount,283,1.13,0.0,0.0,0.0
LensProfileEnable,283,1.13,,,
LensProfileSetup,283,1.13,,,
PerspectiveHorizontal,283,1.13,0.0,0.0,0.0
PerspectiveRotate,283,1.13,0.0,0.0,0.0
PerspectiveScale,283,1.13,100.0,100.0,100.0
PerspectiveVertical,283,1.13,0.0,0.0,0.0
ProcessVersion,283,1.13,,,
ParametricHighlightSplit,254,1.02,30.0,90.0,86.8307
ParametricMidtoneSplit,197,0.79,20.0,80.0,69.7411
ParametricShadowSplit,52,0.21,10.0,67.0,22.2692
Clarity,16,0.06,-6.0,47.0,8.75
IncrementalTemperature,15,0.06,-28.0,17.0,0.2667
IncrementalTint,15,0.06,-15.0,0.0,-1.0
GrayMixerAqua,7,0.03,-23.0,-18.0,-19.1429
GrayMixerBlue,7,0.03,5.0,9.0,6.2857
GrayMixerGreen,7,0.03,-27.0,-23.0,-23.7143
GrayMixerMagenta,7,0.03,3.0,16.0,5.8571
GrayMixerOrange,7,0.03,-15.0,-11.0,-14.2857
GrayMixerPurple,7,0.03,12.0,23.0,14.1429
GrayMixerYellow,7,0.03,-21.0,-16.0,-18.1429
CustomIncrementalTemperature,7,0.03,-28.0,17.0,0.5714
CustomIncrementalTint,7,0.03,-15.0,0.0,-2.1429
GrayMixerRed,6,0.02,-7.0,2.0,-5.5
CropBottom,5,0.02,0.787913,0.787913,0.7879
CropConstrainAspectRatio,5,0.02,,,
CropRight,5,0.02,0.656535,0.656535,0.6565
CorrectionActive,2,0.01,,,
CorrectionAmount,2,0.01,1.0,1.0,1.0
CorrectionID,2,0.01,,,
MaskID,2,0.01,,,
MaskValue,2,0.01,1.0,1.0,1.0
What,2,0.01,,,
CorrectionReferenceX,2,0.01,0.15856,0.731307,0.4449
CorrectionReferenceY,2,0.01,0.33155,0.808759,0.5702
LocalBrightness,2,0.01,-0.088,0.0,-0.044
LocalClarity,2,0.01,-1.0,0.0,-0.5
LocalContrast,2,0.01,0.0,0.0,0.0
LocalExposure,2,0.01,-0.097,0.0,-0.0485
LocalSaturation,2,0.01,-0.806,-0.41,-0.608
LocalSharpness,2,0.01,-1.0,0.0,-0.5
LocalToningHue,2,0.01,50.0,240.0,145.0
LocalToningSaturation,2,0.01,0.0,0.0,0.0
CenterWeight,2,0.01,0.10806,0.196625,0.1523
Flow,2,0.01,0.575036,1.0,0.7875
Radius,2,0.01,0.000985,0.069103,0.035
SaturationAdjustmentBlue,1,0.0,1.0,1.0,1.0
FullX,1,0.0,0.417315,0.417315,0.4173
FullY,1,0.0,1.01168,1.01168,1.0117
ZeroX,1,0.0,0.417315,0.417315,0.4173
ZeroY,1,0.0,0.861314,0.861314,0.8613
centerX,1,0.0,0.502992,0.502992,0.503
centerY,1,0.0,0.642923,0.642923,0.6429
opacity,1,0.0,1.0,1.0,1.0
radius,1,0.0,0.009066,0.009066,0.0091
sourceState,1,0.0,,,
sourceX,1,0.0,0.482618,0.482618,0.4826
sourceY,1,0.0,0.624038,0.624038,0.624
spotType,1,0.0,,,
